original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
The Flintstones in Viva Rock Vegas,2000,"Comedy, Family, Romance",90,USA,English,Brian Levant,"William Hanna, Joseph Barbera","Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Joan Collins, Thomas Gibson, Alan Cumming, Harvey Korman, Alex Meneses, John Taylor, Tony Longo, Danny Woodburn, Taylor Negron, Jack McGee, David Jean Thomas",Mark Addy,"Mark Addy, Stephen Baldwin","In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson).",In this live-action prequel to,3.6,21224,83000000,35268275,-47731725
Behind Enemy Lines,2001,"Action, Drama, Thriller",106,USA,English,John Moore,"Jim Thomas, John Thomas","Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield, Joaquim de Almeida, David Keith, Olek Krupa, Vladimir Mashkov, Marko Igonda, Eyal Podell, Geoff Pierson, Aernout Van Lynden, Sam Jaeger, Shane Johnson, Don Winston",Owen Wilson,"Owen Wilson, Gene Hackman",A Navy navigator is shot down over enemy territory and is ruthlessly pursued by a secret police enforcer and the opposing troops. Meanwhile his commanding officer goes against orders in an attempt to rescue him.,A Navy navigator is shot down,6.4,97575,40000000,58856790,18856790
Cold Mountain,2003,"Adventure, Drama, History",154,"USA, Italy, Romania",English,Anthony Minghella,"Charles Frazier, Anthony Minghella","Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone, Kathy Baker, James Gammon, Charlie Hunnam, Jack White, Ethan Suplee",Jude Law,"Jude Law, Nicole Kidman","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",In the waning days of the American,7.2,138013,79000000,95636509,16636509
The Art of War,2000,"Action, Adventure, Crime",117,"USA, Canada",English,Christian Duguay,"Wayne Beach, Wayne Beach","Wesley Snipes, Anne Archer, Maury Chaykin, Marie Matiko, Cary-Hiroyuki Tagawa, Michael Biehn, Donald Sutherland, Liliana Komorowska, James Hong, Paul Hopkins, Glen Chin, Ron Yuan, Bonnie Mak, Uni Park, Erin Selby",Wesley Snipes,"Wesley Snipes, Anne Archer","UN's secretary general uses covert operations to help diplomacy along. Shaw's called back 6 months after one such operation. He witnesses the murder of Chinese UN ambassador at UN, NYC, chases the assassin and ends up a suspect.",UN's secretary general uses covert,5.7,28367,60000000,30208599,-29791401
Charlie's Angels,2000,"Action, Adventure, Comedy",98,"USA, Germany",English,McG,"Ryan Rowe, Ed Solomon","Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson, Sean Whalen, Tim Dunaway, Alex Trebek",Cameron Diaz,"Cameron Diaz, Drew Barrymore","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.","Three women, detectives with a",5.5,173640,93000000,125305545,32305545
D-Tox,2002,"Crime, Thriller",96,"Germany, USA",English,Jim Gillespie,"Howard Swindle, Ron L. Brinkerhoff","Sylvester Stallone, Charles S. Dutton, Polly Walker, Kris Kristofferson, Mif, Christopher Fulford, Jeffrey Wright, Tom Berenger, Stephen Lang, A.C. Peterson, Hrothgar Mathews, Angela Alvarado, Robert Prosky, Robert Patrick, Courtney B. Vance",Sylvester Stallone,"Sylvester Stallone, Charles S. Dutton",A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.,A lead detective being stalked,5.3,23989,55000000,79161,-54920839
Impostor,2001,"Drama, Mystery, Sci-Fi",95,USA,English,Gary Fleder,"Philip K. Dick, Scott Rosenberg","Gary Sinise, Madeleine Stowe, Vincent D'Onofrio, Tony Shalhoub, Tim Guinee, Mekhi Phifer, Gary Dourdan, Lindsay Crouse, Elizabeth Peña, Jason Beck, Judy Jean Berns, Veena Bidasha, Ellen Bradley, Shane Brolly, Golden Brooks",Gary Sinise,"Gary Sinise, Madeleine Stowe","In the future, an alien race uses androids as bombs to attack Earth. A government weapons specialist is accused of being one such android and sets out to prove his innocence.","In the future, an alien race uses",6.2,22363,30000000,6285176,-23714824
Lost Souls,2000,"Drama, Horror, Thriller",97,USA,English,Janusz Kaminski,"Pierce Gardner, Betsy Stahl","Winona Ryder, Ben Chaplin, Sarah Wynter, Philip Baker Hall, John Hurt, Elias Koteas, Brian Reddy, John Beasley, John Diehl, Paul Kleiman, Bob Clendenin, Oliver Clark, Michael Mantell, Brad Greenquist, Ming Lo",Winona Ryder,"Winona Ryder, Ben Chaplin","A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",A Catholic teacher meets an atheist,4.8,10316,50000000,16815253,-33184747
Rules of Engagement,2000,"Drama, Thriller, War",128,"UK, Germany, Canada, USA",English,William Friedkin,"Jim Webb, Stephen Gaghan","Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley, Bruce Greenwood, Anne Archer, Blair Underwood, Philip Baker Hall, Dale Dye, Amidou, Mark Feuerstein, Richard McGonagle, Baoan Coleman, Nicky Katt, Ryan Hurst",Tommy Lee Jones,"Tommy Lee Jones, Samuel L. Jackson",An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.,An attorney defends an officer,6.4,43780,60000000,61335230,1335230
What Lies Beneath,2000,"Drama, Fantasy, Horror",130,USA,English,Robert Zemeckis,"Clark Gregg, Sarah Kernochan","Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar, Harrison Ford, Victoria Bidewell, Diana Scarwid, Dennison Samaroo, Jennifer Tung, Eliott Goretsky, Rachel Singer, Daniel Zelman, Ray Baker, Wendy Crewson, Amber Valletta",Michelle Pfeiffer,"Michelle Pfeiffer, Katharine Towne",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,The wife of a university research,6.6,116054,100000000,155464351,55464351
What's the Worst That Could Happen?,2001,"Comedy, Crime",94,USA,English,Sam Weisman,"Donald E. Westlake, Matthew Chapman","Martin Lawrence, Danny DeVito, John Leguizamo, Glenne Headly, Carmen Ejogo, Bernie Mac, Larry Miller, Nora Dunn, Richard Schiff, William Fichtner, Ana Gasteyer, Sascha Knopf, Siobhan Fallon Hogan, GQ, Lenny Clarke",Martin Lawrence,"Martin Lawrence, Danny DeVito","A rich man catches a thief burglarizing his home and steals the thief's lucky ring, who then tries to get it back.",A rich man catches a thief burglarizing,5.5,14842,60000000,32269834,-27730166
Cast Away,2000,"Adventure, Drama, Romance",143,USA,English,Robert Zemeckis,William Broyles Jr.,"Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks, Yelena Popovic, Valentina Ananina, Semion Sudarikov, Tom Hanks, Peter Von Berg, Dmitri S. Boudrine, François Duhamel, Michael Forest, Viveka Davis, Nick Searcy, Jennifer Choe",Paul Sanchez,"Paul Sanchez, Lari White",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,A FedEx executive undergoes a,7.8,510788,90000000,233632142,143632142
Ghost World,2001,"Comedy, Drama",111,"USA, UK, Germany",English,Terry Zwigoff,"Daniel Clowes, Daniel Clowes","Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro, Illeana Douglas, Bob Balaban, Stacey Travis, Charles C. Stevenson Jr., Dave Sheridan, Tom McGowan, Debra Azar, Brian George, Pat Healy, Rini Bell, T.J. Thyne",Thora Birch,"Thora Birch, Scarlett Johansson","With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",With only the plan of moving in,7.3,111652,7000000,6217849,-782151
Shaft,2000,"Action, Crime, Thriller",99,"Germany, USA",English,John Singleton,"Ernest Tidyman, John Singleton","Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale, Busta Rhymes, Dan Hedaya, Toni Collette, Richard Roundtree, Ruben Santiago-Hudson, Josef Sommer, Lynne Thigpen, Philip Bosco, Pat Hingle, Lee Tergesen, Daniel von Bargen",Samuel L. Jackson,"Samuel L. Jackson, Vanessa Williams",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,New York City police detective,5.9,72469,46000000,70334258,24334258
Hanging Up,2000,"Comedy, Drama",94,"Germany, USA",English,Diane Keaton,"Delia Ephron, Delia Ephron","Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau, Adam Arkin, Shaun Duke, Ann Bortolotti, Cloris Leachman, Maree Cheatham, Myndy Crist, Libby Hudson Lydecker, Jesse James, Edie McClurg, Tracee Ellis Ross, Celia Weston",Meg Ryan,"Meg Ryan, Diane Keaton","A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",A trio of sisters bond over their,4.9,11693,60000000,36050230,-23949770
Jurassic Park III,2001,"Action, Adventure, Sci-Fi",92,USA,English,Joe Johnston,"Michael Crichton, Peter Buchman","Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola, Trevor Morgan, Michael Jeter, John Diehl, Bruce A. Young, Laura Dern, Taylor Nichols, Mark Harelik, Julio Oscar Mechoso, Blake Michael Bryan, Sarah Danielle Madison, Linda Park",Sam Neill,"Sam Neill, William H. Macy","A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",A decidedly odd couple with ulterior,5.9,290954,93000000,181171875,88171875
The Beach,2000,"Adventure, Drama, Romance",119,"USA, UK",English,Danny Boyle,"John Hodge, Alex Garland","Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon, Virginie Ledoyen, Guillaume Canet, Robert Carlyle, Somboon Phutaroth, Weeratham 'Norman' Wichairaksakui, Sahajak Boonthanakit, Peter Youngblood Hills, Jerry Swindall, Krongthong Thampradith, Apichart Chusakul, Sanya 'Gai' Cheunjit, Kaneung 'Nueng' Kenia",Leonardo DiCaprio,"Leonardo DiCaprio, Daniel York","Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",Vicenarian Richard travels to,6.7,219346,50000000,39785027,-10214973
Bless the Child,2000,"Crime, Drama, Horror",107,"USA, Germany",English,Chuck Russell,"Cathy Cash Spellman, Thomas Rickman","Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell, Angela Bettis, Christina Ricci, Michael Gaston, Lumi Cavazos, Dimitra Arliss, Eugene Lipinski, Anne Betancourt, Ian Holm, Helen Stenborg, Matthew Lemche, Dan Warry-Smith",Kim Basinger,"Kim Basinger, Jimmy Smits","Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.","Cody, a little girl abandoned",5.1,13737,65000000,29381494,-35618506
Hollow Man,2000,"Action, Horror, Sci-Fi",112,"USA, Germany",English,Paul Verhoeven,"Gary Scott Thompson, Andrew W. Marlowe","Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens, Greg Grunberg, Joey Slotnick, Mary Randle, William Devane, Rhona Mitra, Pablo Espinosa, Margot Rose, Jimmie F. Skaggs, Jeffrey Scaperrotta, Sarah Bowles, Kelli Scott",Elisabeth Shue,"Elisabeth Shue, Kevin Bacon","When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",When the leader of a team of scientists,5.8,121916,95000000,73209340,-21790660
The Sum of All Fears,2002,"Action, Drama, Thriller",124,"USA, Germany, Canada",English,Phil Alden Robinson,"Tom Clancy, Paul Attanasio","Ian Mongrain, Russell Bobbitt, James Cromwell, Ken Jenkins, Bruce McGill, John Beasley, Morgan Freeman, Philip Baker Hall, Al Vandecruys, Richard Cohee, Philip Pretten, Alison Darcy, Richard Marner, Ostap Soroka, Robert Martin Robinson",Ian Mongrain,"Ian Mongrain, Russell Bobbitt","CIA analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's President by detonating a nuclear weapon at a football game in Baltimore, Maryland.",CIA analyst Jack Ryan must stop,6.4,101506,68000000,118907036,50907036
Under Suspicion,2000,"Crime, Drama, Thriller",110,"France, USA",English,Stephen Hopkins,"John Wainwright, Claude Miller","Gene Hackman, Morgan Freeman, Thomas Jane, Monica Bellucci, Nydia Caro, Miguel Ángel Suárez, Pablo Cunqueiro, Isabel Algaze, Jacqueline Duprey, Luis Caballero, Patricia Beato, Sahyly Yamile, Hector Travieso, Marisol Calero, Vanessa Shenk",Gene Hackman,"Gene Hackman, Morgan Freeman","A wealthy attorney in San Juan comes to the police station for ""10 min."" of follow up questions to finding a 12-year old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence points to him.",A wealthy attorney in San Juan,6.5,22055,25000000,260562,-24739438
Along Came a Spider,2001,"Drama, Thriller",104,"USA, Germany, Canada",English,Lee Tamahori,"James Patterson, Marc Moss","Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller, Anna Maria Horsford, Scott Heindl, Christopher Shyer, Jill Teed",Morgan Freeman,"Morgan Freeman, Monica Potter","When a congressman's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner.",When a congressman's daughter,6.4,74947,60000000,74078174,14078174
Romeo Must Die,2000,"Action, Crime, Thriller",115,USA,English,Andrzej Bartkowiak,"Mitchell Kapner, Eric Bernt","Jet Li, Aaliyah, Isaiah Washington, Russell Wong, Delroy Lindo, D.B. Woodside, Henry O, Jon Kit Lee, Edoardo Ballerini, Anthony Anderson, DMX, Matthew Harrison, Terry Chen, Derek Lowe, Ronin Wong",Jet Li,"Jet Li, Aaliyah, Isaiah Washington",An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,An avenging cop seeks out his,6.1,66018,25000000,55973336,30973336
Sinbad: Legend of the Seven Seas,2003,"Animation, Adventure, Family",88,USA,English,"Patrick Gilmore, Tim Johnson",John Logan,"Brad Pitt, Catherine Zeta-Jones, Michelle Pfeiffer, Joseph Fiennes, Dennis Haysbert, Timothy West, Adriano Giannini, Raman Hui, Chung Chan, Jim Cummings, Conrad Vernon, Andrew Birch, Chris Miller",Brad Pitt,"Brad Pitt, Catherine Zeta-Jones","The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",The sailor of legend is framed,6.7,48185,60000000,26483452,-33516548
Monkeybone,2001,"Animation, Comedy, Fantasy",93,USA,English,Henry Selick,"Kaja Blackley, Sam Hamm","Brendan Fraser, Bridget Fonda, John Turturro, Chris Kattan, Giancarlo Esposito, Rose McGowan, Dave Foley, Megan Mullally, Bob Odenkirk, Pat Kilbane, Lisa Zane, Whoopi Goldberg, Sandra Thigpen, Wayne Wilderson, Amy Higgins",Brendan Fraser,"Brendan Fraser, Bridget Fonda","In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.","In a coma, a cartoonist finds",4.7,16489,75000000,5411999,-69588001
Spirit: Stallion of the Cimarron,2002,"Animation, Adventure, Drama",83,USA,English,"Kelly Asbury, Lorna Cook","John Fusco, Michael Lucker","Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet, Jeff LeBeau, John Rubano, Richard McGonagle, Matt Levin, Adam Paul, Robert Cait, Charles Napier, Meredith Wells, Zahn McClarnon, Michael Horse, Donald Fullilove",Matt Damon,"Matt Damon, James Cromwell","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",A wild stallion is captured by,7.1,63449,80000000,73280117,-6719883
Mulholland Dr.,2001,"Drama, Mystery, Thriller",147,"France, USA",English,David Lynch,David Lynch,"Naomi Watts, Jeanne Bates, Dan Birnbaum, Laura Harring, Randall Wulff, Robert Forster, Brent Briscoe, Maya Bond, Patrick Fischler, Michael Cooke, Bonnie Aarons, Michael J. Anderson, Joseph Kearney, Enrique Buelna, Richard Mead",Naomi Watts,"Naomi Watts, Jeanne Bates","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",After a car wreck on the winding,8,312966,15000000,7220243,-7779757
